"My Account","Mijn account"
"Create an Account","Maak een account aan"
"Sign In","Log in"
"You have no items in your shopping cart.","Er zit niets in je winkelmandje."
"Privacy and Cookie Policy","Privacy en cookie policy"
"Contact Us","Contacteer ons"
"Enter your email address","Geef je e-mail op"
"Subscribe","Inschrijven"
"All ","Bekijk "
"Qty","Aantal"
"Search","Zoeken"
"Add to Cart","In winkelmandje"
"Adding...","Bezig..."
"Added","Toegevoegd"
"Subtotal","Subtotaal"
"We don't have as many ""%1"" as you requested.","We hebben de opgegeven hoeveelheid voor ""%1"" niet in voorraad."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We hebben de opgegeven hoeveelheid voor ""%1"" niet onmiddellijk in voorraad. De resterende %2 worden als back order opgenomen."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We hebben de opgegeven hoeveelheid voor ""%1"" niet onmiddellijk in voorraad. De resterende %2 worden als back order opgenomen."
"More","Meer"
"Sorry, no quotes are available for this order at this time.","Sorry, er is geen verzendmethode beschikbaar voor de door u opgegeven bestemming."
"Sorry, no quotes are available for this order at this time","Sorry, er is geen verzendmethode beschikbaar voor de door u opgegeven bestemming."
"Sorry, no quotes are available for this order right now.","Sorry, er is geen verzendmethode beschikbaar voor de door u opgegeven bestemming."
"Sorry, no quotes are available for this order.","Sorry, er is geen verzendmethode beschikbaar voor de door u opgegeven bestemming."
"Order Total Incl. Tax","Totaal incl. Btw"
"Order Total Excl. Tax","Totaal excl. Btw"
"Shipping","Verzending"
"Shipping Address","Verzendadres"
"Email Address","E-mail"
"First Name","Voornaam"
"Last Name","Naam"
"Company","Bedrijf"
"Street Address","Straat en nummer"
"City","Stad"
"State/Province","Provincie"
"Zip/Postal Code","Postcode"
"Country","Land"
"Phone Number","Telefoon"
"VAT number","Btw-nummer"
"For delivery questions.","Voor vragen m.b.t levering."
"Not yet calculated","Nog niet berekend"
"Tax","Btw"
"We'll send your order confirmation here.","We sturen een orderbevestiging naar dit e-mailadres."
"You already have an account with us. Sign in or continue as guest.","U heeft al een account bij ons. Log in of ga door als gast."
"Ship Here","Lever hier"
"Cancel","Annuleer"
"Save Address","Sla adres op"
"Review & Payments","Controleren en betalen"
"Payment","Betaling"
"New Address","Nieuw adres"
"Enter discount code","Voer cadeaubon- of kortingscode in"
"Apply Discount","Pas korting toe"
"Coupon code is not valid","Kortingscode is niet geldig"
"Could not apply coupon code","Kortingscode kon niet worden toegepast"
"Cancel coupon","Annuleer korting"
"Your coupon was successfully applied","De kortingscode werd met succes toegepast"
"Customer Login","Klanten login"
"Registered Customers","Reeds geregistreerd?"
"New Customers","Nog geen account?"
"If you have an account, sign in with your email address.","Als je al een account hebt, log dan in met je e-mailadres."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Een account aanmaken heeft alleen maar voordelen: sneller uit checken, meer dan &eacute;&eacute;n adres bewaren, bestellingen raadplegen en nog veel meer..."
"Email","E-mail"
"Password","Wachtwoord"
"Confirm Password","Herhaal wachtwoord"
"Login","Log in"
"Forgot Your Password?","Wachtwoord vergeten?"
"* Required Fields","* Verplichte velden"
"Create New Customer Account","Een nieuwe account aanmaken"
"Personal Information","Basisinformatie"
"Sign-in Information","Logingegevens"
"Sign Up for Newsletter","Schrijf je in voor de seizoensbrief"
"Back","Terug"
"Please enter a valid email address (Ex: johndoe@domain.com).","Voer een geldig wachtwoord in (Bvb.: jan@domein.be)"
"This is a required field.","Dit is een verplicht veld."
"Invalid login or password.","Ongeldige login of wachtwoord."
"Please enter the same value again.","Vul dezelfde waarde opnieuw in."




